文件功能对照表（供日记记录）
文件名	功能	依赖	备注
gui_launcher.py	主控台图形界面，协调整个流程	config_manager, process_runner, ui_components, prompt_editor	用户交互核心
txt_to_json.py	将原始文稿转换为结构化 JSON（支持并发分块）	settings, concurrent_utils	处理长文本时自动分块
auto_split_deepseek.py	根据 JSON 生成分镜设计和提示词	settings	串行处理批次（可升级并发）
extract_prompts.py	从分镜文件提取提示词，并发翻译成英文	settings, concurrent_utils	新增并发翻译
comfyui_submit.py	将提示词提交到 ComfyUI 生成视频	无	可后续加入并发
prompt_editor.py	独立窗口编辑和重新生成提示词	无	需 API Key
settings.py	从 user_settings.json 加载并发参数	无	提供模块级常量
concurrent_utils.py	分块和并发处理工具函数	无	提供 split_into_chunks 和 concurrent_process
config_manager.py	读写 config.json 和 user_settings.json	无	封装配置操作
process_runner.py	封装子进程调用，实时输出日志	无	统一错误处理
ui_components.py	可复用的 GUI 组件（日志框、进度条）	无	保持界面一致性
user_settings.json	用户设置的并发参数（自动生成）	无	由 GUI 设置按钮生成
config.json	用户保存的 API Key 和模型（自动生成）	无	由 GUI 保存配置生成
